address,instruction,opcode,x,y,n,kk,nnn,description
0x0304,0x80C0,0x8000,0x0000,0x000C,0x0000,0x00C0,0x00C0,SET_V[0x0000]_EQUALSTO_V[0x000C]
0x0306,0x4000,0x4000,0x0000,0x0000,0x0000,0x0000,0x0000,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x0000
0x0308,0x0060,0x0000,0x0000,0x0006,0x0000,0x0060,0x0060,UNKNOWN_0x00_INSTRUCTION
0x030A,0xC000,0xC000,0x0000,0x0000,0x0000,0x0000,0x0000,SET_V[0x0000]_EQUALSTO_RANDOM
0x030C,0x80C0,0x8000,0x0000,0x000C,0x0000,0x00C0,0x00C0,SET_V[0x0000]_EQUALSTO_V[0x000C]
0x030E,0x4000,0x4000,0x0000,0x0000,0x0000,0x0000,0x0000,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x0000
0x0310,0x0060,0x0000,0x0000,0x0006,0x0000,0x0060,0x0060,UNKNOWN_0x00_INSTRUCTION
0x0312,0xC000,0xC000,0x0000,0x0000,0x0000,0x0000,0x0000,SET_V[0x0000]_EQUALSTO_RANDOM
0x0314,0xC0C0,0xC000,0x0000,0x000C,0x0000,0x00C0,0x00C0,SET_V[0x0000]_EQUALSTO_RANDOM
0x0316,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,UNKNOWN_0x00_INSTRUCTION
0x0318,0xC0C0,0xC000,0x0000,0x000C,0x0000,0x00C0,0x00C0,SET_V[0x0000]_EQUALSTO_RANDOM
0x031A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,UNKNOWN_0x00_INSTRUCTION
0x031C,0xC0C0,0xC000,0x0000,0x000C,0x0000,0x00C0,0x00C0,SET_V[0x0000]_EQUALSTO_RANDOM
0x031E,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,UNKNOWN_0x00_INSTRUCTION
0x0320,0xC0C0,0xC000,0x0000,0x000C,0x0000,0x00C0,0x00C0,SET_V[0x0000]_EQUALSTO_RANDOM
0x0322,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,UNKNOWN_0x00_INSTRUCTION
0x0324,0x4040,0x4000,0x0000,0x0004,0x0000,0x0040,0x0040,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x0040
0x0326,0x4040,0x4000,0x0000,0x0004,0x0000,0x0040,0x0040,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x0040
0x0328,0x00F0,0x0000,0x0000,0x000F,0x0000,0x00F0,0x00F0,UNKNOWN_0x00_INSTRUCTION
0x032A,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,UNKNOWN_0x00_INSTRUCTION
0x032C,0x4040,0x4000,0x0000,0x0004,0x0000,0x0040,0x0040,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x0040
0x032E,0x4040,0x4000,0x0000,0x0004,0x0000,0x0040,0x0040,SKIP_NEXT_INSTRUCTION_IF_V[0x0000]_NOT_EQUALS_0x0040
0x0330,0x00F0,0x0000,0x0000,0x000F,0x0000,0x00F0,0x00F0,UNKNOWN_0x00_INSTRUCTION
0x0332,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,UNKNOWN_0x00_INSTRUCTION
0x0334,0xD014,0xD000,0x0000,0x0001,0x0004,0x0014,0x0014,DRAW_SPRITE_AT_COORDINATES_V[0x0000]V[0x0001]_WIDTH_8_HEIGHT_0x0004
0x0336,0x6635,0x6000,0x0006,0x0003,0x0005,0x0035,0x0635,SET_V[0x0006]_EQUALSTO_0x0035
0x0338,0x76FF,0x7000,0x0006,0x000F,0x000F,0x00FF,0x06FF,SET_V[0x0006]_EQUALSTO_V[0x0006]+0x00FF
0x033A,0x3600,0x3000,0x0006,0x0000,0x0000,0x0000,0x0600,SKIP_NEXT_INSTRUCTION_IF_V[0x0006]_EQUALS_0x0000
0x033C,0x1338,0x1000,0x0003,0x0003,0x0008,0x0038,0x0338,JUMP_0x0338
0x033E,0x00EE,0x0000,0x0000,0x000E,0x000E,0x00EE,0x00EE,SUBROUTINE_RETURN
0x0340,0xA2B4,0xA000,0x0002,0x000B,0x0004,0x00B4,0x02B4,SET_I_EQUALSTO_0x02B4
